name,method,articles,density,minDegree,maxDegree,meanDegree,medianDegree,minDistance,maxDistance,meanDistance,medianDistance,minStrength,maxStrength,meanStrength,medianStrength
AT BV,tokens,224,0.7148862908392056,0,221,159.419642857,170.5,1,221,73.4784654158,63.0,1,133,4.16079529544,3.0
AT BV,stems,224,0.8026505445227419,0,221,178.991071429,191.0,1,222,74.0388087993,64.0,1,121,4.9269716167,3.0
AT BV,token pairs,224,0.12544042280589365,0,142,27.9732142857,23.0,1,214,70.1279923396,56.0,1,177,2.36227258219,1.0
AT BV,stem pairs,224,0.1802930813581038,0,157,40.2053571429,34.5,1,214,71.6666666667,57.0,1,173,2.25294248279,1.0
AT DSG2000,tokens,73,0.910958904109589,40,72,65.5890410959,68.0,1,72,24.5572263993,22.0,1,65,7.00334168755,5.0
AT DSG2000,stems,73,0.9398782343987824,41,72,67.6712328767,70.0,1,72,24.571659919,22.0,1,74,8.78016194332,6.0
AT DSG2000,token pairs,73,0.25,0,43,18.0,15.0,1,69,21.7199391172,19.0,1,37,2.15372907154,1.0
AT DSG2000,stem pairs,73,0.3295281582952816,0,53,23.7260273973,21.0,1,70,22.3187066975,20.0,1,40,2.37759815242,2.0
AT ZPO,tokens,619,0.673118178051224,28,607,415.313915858,447.5,1,618,200.445679955,174.0,1,39,2.5024935324,2.0
AT ZPO,stems,619,0.8069424556655285,104,614,497.883495146,533.0,1,618,202.691249691,177.0,1,40,3.13863863864,2.0
AT ZPO,token pairs,619,0.07121839152806407,0,190,43.9417475728,31.0,1,615,161.668728826,120.0,1,33,1.38083664752,1.0
AT ZPO,stem pairs,619,0.10438860128086104,0,230,64.4077669903,50.0,1,617,165.902271129,129.0,1,34,1.39629182997,1.0
AT STPO,tokens,551,0.7258742275536169,0,509,380.358095238,406.0,1,550,176.735307079,152.0,1,142,3.71697848644,3.0
AT STPO,stems,551,0.8182897079185073,0,517,427.147227533,453.0,1,550,178.753354999,155.0,1,133,4.54273538707,3.0
AT STPO,token pairs,551,0.09187931661214103,0,190,48.1447619048,40.0,1,539,143.783114417,105.0,1,149,1.62407026428,1.0
AT STPO,stem pairs,551,0.12653201761133456,0,209,66.0497131931,56.0,1,539,150.099351552,114.0,1,150,1.61371005095,1.0
AT ABGB,tokens,1355,0.2825124101919145,0,1213,382.23929099,372.0,1,1354,419.324357746,365.0,1,56,1.42183200915,1.0
AT ABGB,stems,1355,0.4261998884256333,0,1301,576.64844904,584.0,1,1354,431.734745422,377.0,1,53,1.57259260587,1.0
AT ABGB,token pairs,1355,0.008552579147384061,0,177,11.5716395864,8.0,1,1336,285.394306868,123.0,1,43,1.33163135052,1.0
AT ABGB,stem pairs,1355,0.015876966880317388,0,274,21.4815361891,14.0,1,1341,298.856563295,130.0,1,45,1.28157876642,1.0
AT STGB,tokens,430,0.836153533221185,24,422,356.201405152,383.0,1,428,135.30123999,117.0,1,79,4.76928033242,4.0
AT STGB,stems,430,0.8892903340916187,35,421,376.169811321,398.0,1,428,137.485303707,120.0,1,69,5.1847569845,5.0
AT STGB,token pairs,430,0.439577354839419,0,343,187.259953162,216.0,1,416,113.605252626,98.0,1,68,3.28951975988,2.0
AT STGB,stem pairs,430,0.48917213078192606,0,351,206.919811321,240.0,1,416,118.69528347,102.0,1,69,3.21259716871,2.0
CH BV,tokens,227,0.5143269268254649,0,210,116.237885463,131.0,1,226,62.1738800879,51.0,1,34,2.08110361555,2.0
CH BV,stems,227,0.6059023040037426,0,216,136.933920705,154.0,1,226,64.7506112469,54.5,1,41,2.24700810706,2.0
CH BV,token pairs,227,0.06370122022533234,0,66,14.3964757709,8.0,1,222,44.2864137087,34.0,1,17,1.53427172583,1.0
CH BV,stem pairs,227,0.07680012475147167,0,72,17.3568281938,10.0,1,222,49.3091370558,37.5,1,17,1.49137055838,1.0
CH DSG,tokens,49,0.7816836262719704,0,45,35.9574468085,39.0,1,48,16.3396449704,14.0,1,44,4.0,3.0
CH DSG,stems,49,0.8381128584643849,0,45,38.5531914894,41.0,1,48,16.3730684327,14.0,1,42,4.62803532009,3.0
CH DSG,token pairs,49,0.22849213691026826,0,25,10.5106382979,10.0,1,43,14.9311740891,12.0,1,53,2.4008097166,1.0
CH DSG,stem pairs,49,0.32377428307123035,0,32,14.8936170213,16.0,1,44,15.5457142857,13.0,1,52,2.46571428571,1.0
CH ZPO,tokens,413,0.4816756388255483,0,356,198.450363196,218.0,1,412,130.054221571,113.0,1,60,1.65439238653,1.0
CH ZPO,stems,413,0.6038811443616446,0,375,248.799031477,279.0,1,412,132.101173677,115.0,1,60,1.83951962941,1.0
CH ZPO,token pairs,413,0.03045440654458262,0,54,12.5472154964,9.0,1,384,96.087610961,69.0,1,63,1.55654187572,1.0
CH ZPO,stem pairs,413,0.04433578598462587,0,79,18.2663438257,13.0,1,392,103.490455992,75.0,1,63,1.47826086957,1.0
CH STPO,tokens,463,0.5871270558095613,11,418,271.252699784,289.0,1,462,146.116537941,124.0,1,58,2.03603790111,2.0
CH STPO,stems,463,0.7098258113376904,14,452,327.939524838,353.0,1,462,148.824784636,128.0,1,57,2.3666587634,2.0
CH STPO,token pairs,463,0.08767402503903583,0,171,40.505399568,21.0,1,452,132.736589528,111.0,1,62,1.24080196225,1.0
CH STPO,stem pairs,463,0.13304909633203368,0,193,61.4686825054,32.0,1,452,136.750527056,115.0,1,62,1.19205903022,1.0
CH ZGB,tokens,1250,0.3197014168799209,0,910,387.158415842,381.5,1,1248,368.136153236,298.0,1,40,1.50152588463,1.0
CH ZGB,stems,1250,0.4431908606369983,0,1024,536.260941371,542.0,1,1248,378.567445628,312.0,1,39,1.65129070605,1.0
CH ZGB,token pairs,1250,0.01691446383528495,0,153,20.4495867769,14.0,1,1240,255.595942451,114.0,1,33,1.33591981895,1.0
CH ZGB,stem pairs,1250,0.02595547170327229,0,207,31.3801652893,24.0,1,1240,253.197629708,114.0,1,34,1.3132473005,1.0
CH OR,tokens,1549,0.35054562040191134,0,1446,523.01406564,515.0,1,1546,456.699357119,368.0,1,65,1.58699894988,1.0
CH OR,stems,1549,0.459895957722275,0,1471,686.164768922,689.0,1,1546,472.370958295,390.0,1,66,1.74261355428,1.0
CH OR,token pairs,1549,0.01330413221060051,0,277,19.836461126,15.0,1,1539,289.016218408,153.0,1,64,1.47202324638,1.0
CH OR,stem pairs,1549,0.019298094195198,0,361,28.773458445,23.0,1,1539,300.917679944,173.0,1,61,1.41001630561,1.0
CH STGB,tokens,464,0.6647245439570496,0,415,294.472972973,330.0,1,463,140.841983694,120.0,1,58,3.56625824117,3.0
CH STGB,stems,464,0.7430703841539056,0,429,329.18018018,356.0,1,463,145.42282219,125.0,1,57,3.68517200799,3.0
CH STGB,token pairs,464,0.2451610267305394,0,283,108.361173815,69.0,1,462,99.045579535,82.0,1,73,2.97371052412,3.0
CH STGB,stem pairs,464,0.2690622350694054,0,295,118.925507901,102.0,1,462,105.18100372,86.0,1,72,2.88413939716,2.0
DE GG,tokens,199,0.6352947270278669,0,187,124.517766497,131.0,1,198,63.8860171219,56.0,1,34,3.0269058296,2.0
DE GG,stems,199,0.7508028592147519,0,191,147.157360406,156.0,1,198,64.9874439462,57.0,1,36,3.45381165919,2.0
DE GG,token pairs,199,0.12695535066818606,0,85,24.883248731,15.0,1,198,51.5507955936,45.0,1,20,1.82129742962,1.0
DE GG,stem pairs,199,0.16072723505645914,0,96,31.5025380711,21.0,1,198,53.1140831453,46.0,1,24,1.83435385111,1.0
DE BDSG,tokens,55,0.9212121212121213,1,53,49.7454545455,52.0,1,53,18.4700292398,16.0,1,103,11.7361111111,9.0
DE BDSG,stems,55,0.934006734006734,1,54,50.4363636364,52.0,1,53,18.5847152127,16.0,1,92,13.3100216294,11.0
DE BDSG,token pairs,55,0.6767676767676768,0,50,36.5454545455,39.0,1,53,18.1671641791,16.0,1,131,4.007960199,3.0
DE BDSG,stem pairs,55,0.7548821548821549,0,51,40.7636363636,46.0,1,53,18.0312221231,16.0,1,128,4.23371989295,3.0
DE ZPO,tokens,1034,0.5463263538109318,8,949,544.687374749,554.5,1,1030,327.368993263,281.0,1,67,2.18161214721,2.0
DE ZPO,stems,1034,0.6479197110369184,12,965,645.975951904,664.0,1,1033,331.92157398,286.0,1,65,2.46969367938,2.0
DE ZPO,token pairs,1034,0.04980271475749895,0,273,49.6533066132,38.0,1,1025,272.779472898,209.0,1,71,1.49118133753,1.0
DE ZPO,stem pairs,1034,0.06622271624492716,0,325,66.0240480962,51.0,1,1028,278.120682329,215.0,1,73,1.45784010199,1.0
DE STPO,tokens,660,0.677871832692904,10,628,441.972434916,467.0,1,658,215.403661714,187.0,1,132,3.01052638873,2.0
DE STPO,stems,660,0.7651753586561317,10,642,498.894333844,527.0,1,658,216.584655809,188.0,1,122,3.44866135835,2.0
DE STPO,token pairs,660,0.09299223029152848,0,236,60.6309341501,39.0,1,655,199.054960598,161.0,1,125,1.60557688422,1.0
DE STPO,stem pairs,660,0.11875816195191612,0,296,77.4303215926,58.0,1,655,200.050314465,163.0,1,123,1.61089355643,1.0
DE BGB,tokens,2396,0.41697330320455334,24,2160,974.049636286,977.0,1,2391,734.278823944,626.0,1,52,1.77960106381,1.0
DE BGB,stems,2396,0.5095540911249055,24,2246,1190.31835687,1206.0,1,2391,742.087193999,635.0,1,48,1.9594747812,1.0
DE BGB,token pairs,2396,0.028814675763916976,0,428,67.3110825845,39.0,1,2379,636.698511182,475.0,1,43,1.40479066278,1.0
DE BGB,stem pairs,2396,0.03590431767691866,0,491,83.8724860933,56.0,1,2379,617.952818734,448.0,1,45,1.39930615785,1.0
DE STGB,tokens,533,0.8186872237440709,13,492,406.887550201,435.0,1,531,176.675635395,154.0,1,81,4.9914129201,4.0
DE STGB,stems,533,0.8627103989398237,13,494,428.767068273,454.5,1,531,178.371383344,156.0,1,73,5.26849189326,4.0
DE STGB,token pairs,533,0.383206871752604,0,390,190.453815261,254.0,1,525,147.385108492,127.0,1,88,3.5412563524,2.0
DE STGB,stem pairs,533,0.41034156747715206,0,406,203.939759036,262.0,1,525,151.604556822,130.0,1,88,3.56467970304,2.0
